Name,Address,Description,Website,Phone
Dining&Bar CHUBBY’s (チャビーズ),東京都台東区千束4-13-3,当店はお酒やお料理の他にダーツやカラオケもあります！ 朝５時まで営業しており、おひとり様から団体様まで大歓迎です！ スタッフ一同元気にお待ちしてます！！,https://www.instagram.com/chubby_s_10_01/,03-6240-6147
呑匠ZONO,東京都台東区浅草5-66-5,カウンター8席の小さいお店です。　多い人数でのご来店の場合はお断りさせて頂く事があります。　ご了承ください。 せんトラセットの提供時間も変則的なのでお気をつけ下さい。,,
ぽらむ,東京都台東区千束3-2-8,花園通りで深夜まで営業している韓国居酒屋です。 定番の韓国料理は勿論、炭火串焼やそのほかのメニューも充実しています。 豊富な種類のナムルや石焼きの上ミノ、ハラミがオススメです!! 皆様のご来店をお待ちしています♫,,03-3872-3629
焼肉東明仙,東京都台東区浅草5-32-9,朝までやっているくつろげるお店です。 お肉も全品Ａ5ランク使用の美味しいお店です。 ゆっくりしてくださいね。,,03-3876-2919
ODETTER オデッテ,東京都台東区浅草5-31-8,元南極観測隊シェフの手掛けるフレンチビストロです！ 皆様のお越しを心よりお待ちしております！,,03-6458-1028
ちゃんこ場 三七三,東京都台東区浅草5-36-7,ちゃんこ場 三七三が創業してから４８年、すこしずつ進化を続けるソップ炊きのスープ、自家製のやわらかツクネ、豚肉に白菜、春菊とシメジとカマボコ、じっくりと味が染みた贅沢な一人鍋、今回も「やんわりの量」で召し上がっていただき〼。 そして、三七三といえばレモンハイ、三七三のちゃんこには特製レモンハイが最高に合う、普段はビール党の方も今回ばかりはレモンハイをお試しください。 お酒を飲まない方へのメニューも有り〼。お座敷に座布団、熱いオシボリを用意してお待ちしてい〼。,,03-3872-3828
和ノ家  追分,東京都台東区浅草5-37-7,津軽三味線、民謡、舞踊の若手が頑張っているので是非見に来てください！,https://www.kazunoya-oiwake.com,03-3874-0722
やんばる食堂,東京都台東区浅草5-37-1,美味しい沖縄料理堪能してくださいね。,,03-3875-0574
tento,東京都台東区浅草5-38-2  101,フレンチ、イタリアンを中心に9年程修行してました！ 料理長経験をありその知識、経験を活かしてます！ ワイン、ウイスキー中心に豊富に扱ってます フレンチ、イタリアンを中心にした創作料理,https://www.instagram.com/tentowhisky2507/,
GANESA,東京都台東区千束3-6-8,《せんトラセット》毎朝直接市場から仕入れる【お刺身小鉢】人気の鍋メニュー【豚バラと白菜のミルフィーユ小鍋】日本酒や焼酎も含む【お好きなお酒1杯】※複数名でご利用の際、鍋は1台での提供とさせて頂きます。　お腹がいっぱいの方には【お好きなお酒2杯】での対応もOKです♪,https://www.instagram.com/ganesa_senzoku/,03-6754-0005
ゆうゆの家,東京都台東区千束3-4-8,ヒューガルデンがタップで飲める リーズナブルに安らげる家庭的ガールズ居酒屋♡ 観音裏では珍しい日本酒、スコッチ、ジンなど幅広く取り扱っているお店です。 毎週木曜日はワンコイン500円で新しいお酒をご用意！ 年2回オリジナルビールも作っていますので、今回のせんトラには「ゆうゆビール」もご用意します！ チェキも撮れま〜す！ また定休日の火水は定期的にゆうゆが開催している日本酒会スタッフによるタコスデー！こちらも特別せんトラがありますのでお立ち寄りください！ 実施時間が異なるので詳細はInstagramにて！ 2/17(火)はゆうゆの家イベントのため満席時ご案内できないことがあります。ご了承ください。,https://sites.google.com/view/yuyunoie/,
居酒屋  心,東京都台東区浅草5-16-14  さつき荘1F,ご家族でも御一人様でも気軽に寄れるアットホームな店です。 お気軽にご来店下さい。 スタッフ一同心よりお待ちしております。,,090-3068-6454
カーサ  カステリーニ,東京都台東区浅草5-30-11  加藤コーポ101,イタリアン一筋　郷土料理とワインの小さなお店です。 大人数でのご利用の際にはご連絡のほどお願いいたします。,https://www.instagram.com/casa_castellini_kpb/,050-3634-4476
のみ処やすらぎ,東京都台東区浅草5-20-3,会津料理を中心に60種以上のバラエティーに富んだ料理を御用意してます。　ワンオペ営業の為、お時間頂く事もあります。 酔いの宵では、酒粕を使った自慢のモツ煮込を提供します。　ドリンクも幅広く選べます。　よろしくお願いいたします！ 店内喫煙可能店,,080-1055-5268
SPICE SPACE UGAYA,東京都台東区浅草5-23-7,浅草観音裏で独自の進化を続けるスパイスバル。　昼は厳選スパイスを使った元祖浅草スパイスカレー屋として！夜はタコスを中心とした多国籍料理居酒屋に！地元のお客様や遠方から来るお客様がスパイス料理をあてにメガジョッキを片手に持ち夜な夜な宴を開いている！,https://www.instagram.com/asakusaspicecurry/,03-5849-4736
立呑み処  和音,東京都台東区浅草4-32-4  黄色いビル1階,浅草六区地域で40年、家族で立呑み処を営んでいた若女将が独立し浅草観音裏地域にお店を構えました。 アットホームな雰囲気ですので、お気軽にご来店ください 心よりお待ちしております。 [せんトラセット]  ワンドリンク 人気の肉豆腐または日替わり小鉢にてご提供いたします。,,090-9809-2425
居酒屋  まつ,東京都台東区浅草4-37-2,昨年好評だった松坂牛スジ辛煮込みに2種のお通し付。 他にも日替わり料理を用意してお待ちしております。,,090-2747-2851
釜飯  南,東京都台東区浅草4-40-2,季節のお料理や釜飯を用意しています,https://www.instagram.com/kamameshi_minami/,080-9191-1987
にじいろ酒場レインボー,東京都台東区浅草4-38-6,日替わり店主バーです(*´∀`*) 曜日ごとに変わる店主のおつまみとドリンクとトークをお楽しみください(*^^*) アットホームで皆優しいので、初めての方やお一人様も大歓迎です＼(^o^)／ 全席喫煙可です☆,https://maps.app.goo.gl/WUQUnttmHGRmQwNNA?g_st=il,
Bar es（バーエス）,東京都台東区浅草4-38-7  4丁目アパート102,【せんトラセット】 •ドリンクは、選べるドリンク ⭐︎生ビール ⭐︎ジャックダニエル 　　(ストレート、ロック、ハイボール) ⭐︎ロングカクテル 　　(リキュール類、焼酎類、ウィスキー類) 店内に酔いの宵メニュー掲示してます。 •フードは、人気のサクサクチーズ 数量限定で、esオリジナル缶バッジプレゼント🎁 2025年9月1日でおかげさまで20周年を迎えられました✨ これからも、よろしくお願いいたします🙇‍♂️,https://www.instagram.com/asanotakeru0427/,03-3873-5139
di Yamanda,東京都台東区浅草4-38-7,観音裏の隠れ家イタリア料理です。　那須高原（栃木県）と須崎安和（高知県）から季節の野菜を取っています。　お魚さんとお肉さんもあります。　カード等は5000円から使えます。,https://www.instagram.com/yamanda.di.5/,070-8405-9853
韓国家庭料理  なると,東京都台東区浅草4-39-2  1F,韓国の家庭料理店です。地元のお客様に愛されてもうすぐ25年。　アットホームなお店です。　酔いの宵では毎年チヂミが大好評いただいております。　なお、せんトラセットは現金でお願いしております。　宜しくお願いいたします。,,03-3872-7560
浅草永見,東京都台東区浅草4-43-6  浅草もみじ1階西公道,開催日数少なめですがよろしくお願いします。 たくさんのお客様のご来店心よりお待ちしております。,https://asakusanagami.jp,03-6240-6280
UUTO SECOND,東京都台東区浅草4-43-6  アビタシオン浅草Ⅱ 1F,こだわりの和牛（田村牛）を使用した様々な和牛料理を是非ご堪能下さい！ お酒は国産ワインや焼酎などのご用意があります。 「酔いの宵」期間中は4名様以上のご来店時はご提供にお時間を頂きますのでご了承下さい。,,
浅草豆花大王,東京都台東区浅草4-43-4,豆花などの台湾スイーツのお店です。豆花や仙草、愛玉子、かき氷などの他、よだれ鶏や台湾ビールなども用意しています。持ち帰りもOKです。,https://shidar7.wixsite.com/asakusadouhuadaio,03-5849-4580
深夜食堂＆弁当  BLACK PAPA,東京都台東区浅草4-18-7,ランチ時間も酔いの宵 やってまーす！,,03-5808-9918
Gyoza Bar けいすけ,東京都台東区浅草4-18-7,例年通り、今年もお世話になります。　海外組とお席の取り合いになると思います。　満席の場合には近隣の店舗へ流れて行ってくださいね♪,https://www.instagram.com/gyoza_k/,090-2680-4013
浅四,東京都台東区浅草4-18-10  関根ビル1階,カウンター6席テーブル2席の小さい居酒屋です。 お酒に合う日替わりのおつまみなどご用意しております。 ご来店お待ちしております。,,03-6325-0043
浅草ワインバル  BELICO,東京都台東区浅草4-15-4  シェルド浅草1F,創作スパニッシュと身体に優しいナチュラルなワインのお店です。 当店自慢のピンチョスは季節感を大事にし彩り豊かで自然なうまみに溢れております。 ワインは世界各国から添加物の添加量をなるべく抑えた作りのフードフレンドリーなワインを取り揃えております。 また、テラスのお席はワンちゃんとご一緒にお食事を楽しめるスポットとなっております。,https://www.instagram.com/belico_asakusa/,080-4145-4154
浅草ワイン屋 VINOABE,東京都台東区浅草4-10-5  菊地マンション1階,ソムリエ歴30年以上のオーナーソムリエが経営するワインバーです。 イタリア・ワインを主に、グラスやボトルワインを提供してます、 切り立ての生ハム、サラミやワインに合う料理もあります❗️,https://vinoabe.wine,050-3579-3910
路地裏の呑み処『小時』,東京都台東区浅草4-7-10,浅草・観音裏の路地裏に、ひっそりと佇むおでん居酒屋です。 香川県から直送の本場讃岐うどんは、熱烈ファンに愛される人気メニュー。 お腹いっぱいになるお料理と、美味しいお酒、そして楽しい雰囲気をお楽しみください。 きっと、お気に入りの隠れ家のひとつになるはずです。 〈せんトラセット〉 お昼はうどんランチ 夜の部はおでんやオススメ料理,https://www.instagram.com/kotoki_asakusa/,03-6458-1475
cafe michikusa,東京都台東区浅草4-6-5  岩岡ビル1階,観音裏のカフェで、ゆるやかなひとときを。　酔いの宵特別メニューとして、人気のクラシック・パンケーキ（ミニサイズ）にチョコレートソースをトッピング！　コーヒーまたは紅茶も一緒にお楽しみ頂けるスペシャルセットをご用意してお待ちしております。 ※せんトラセットでのアルコールの提供はありません。,https://cafemichikusa.jp,03-3876-2004
デンキヤホール,東京都台東区浅草4-20-3,おかげ様で創業100年以上、レトロな喫茶店です。よろしくお願いいたします。〈せんトラセット〉オム巻きと珈琲か紅茶のセット。 ※せんトラセットでのアルコールの提供はありません。,,03-3875-2987
caril,東京都台東区浅草4-17-3  大石ビル1F,お気軽にどうぞ,https://www.instagram.com/carilasakusa/,
ぽんず,東京都台東区浅草4-13-6,ご来店お待ちしております,,03-5808-3411
洋風酒場  遊屋,東京都台東区浅草4-8-2,夜19:00〜朝7:00まで営業しておりますので、ご都合の良いお時間でご来店下さい。　カウンター席、テーブル席ございますので、お一人様からグループ利用でご案内できます。　お時間により混み合う事がありますので、まずはお電話にてご予約をお勧めします。,,03-5808-0155
和酒処  しゅはり,東京都台東区浅草6-29-12,今年も参加させていただきます。　酔いの宵開催期間中は木金土日曜で営業予定です。　お会計はお現金のみになります。 酔いの宵メニューのお客様は１組2名様以内、カウンター4席のみご案内可能です。 一般のお客様を優先させていただきますので、ご理解いただけますようお願いします。,https://www.instagram.com/shuhari_asakusa_sakebar/,03-3874-6632
喫茶あかね,東京都台東区浅草7-6-5,創業から49年目の喫茶店です。　アルコールの取り扱いもございますが、自家焙煎コーヒーやクリームソーダなどと共に、サンドイッチをお楽しみください！,https://www.instagram.com/cafe.akane/,03-3873-6406
コティフィンランドカフェ  KOTI Finland Cafe,東京都台東区浅草7-6-4  矢澤ビル1F,映画『かもめ食堂』をイメージしたフィンランドカフェです。フィンランドのサーモンスープやシナモンロールなどを、イッタラ・アラビア・マリメッコなどフィンランドのブランド食器でご提供しています。 都内でもめずらしいフィンランド料理をぜひご賞味ください！ ※完全キャッシュレスのお店です。 現金はご用意しておりませんのでご了承ください。,https://www.instagram.com/koti_finland_cafe_asakusa/,
スパゲッティストア  カルボ,東京都台東区浅草3-42-6,浅草で唯一？の焼きスパゲッティ専門店です！ せんトラセット内容は お好きなスパゲッティ一皿と、ドリンクメニューより1杯となります。 スパゲッティは一般的な1人前の量があります。 （お持ち帰りも可能です）,https://www.carbo2010.com,03-5603-0203
浅草とんかつ弥生,東京都台東区浅草3-12-4,昭和15年創業以来、100％ラードでカラッと揚げるとんかつ。　昼は定食、夜は定食、串揚げや一品料理、旬の加賀野菜をお出ししてます。　お酒を飲むお客様にも楽しんで頂いております。　皆さまのご来店お待ちしております。,https://www.instagram.com/asakusa.tonkatsu.yayoi/,03-3873-4743
ソリアーノ・モジャ,東京都台東区浅草3-41-3  北村店舗101,本が読める立ち飲みBARです。　ヒューガルデンドラフト、フレッシュフルーツを使った泡盛サングリア、本日の日本酒、おつまみをご用意しておまちしております。 ※完全キャッシュレスのお店です。　現金はご用意しておりませんのでご了承ください。 冊子では営業時間を13:00-21:30（LO 20:30）と掲載しましたが 16:00-21:30（LO 20:30）に変更させて頂きます。,https://www.instagram.com/soriano.moja/,
RAFT,東京都台東区浅草3-41-3  北村店舗103,沖縄の味を浅草で。　嘉手納育ちの家庭料理と浅草で出会った素材と知識を融合させたハイブリッド沖縄料理を提供させていただいてます。,https://raft-asakusa-okinawa.com,070-4713-3204
寿司雅,東京都台東区浅草3-40-6  メゾン340  1階,初めて参加いたします。　皆様に寿司雅を知っていただきたくまた、地域の皆様に愛されるお店作りを念頭にスタッフ一同心よりお待ち申し上げております。　是非一度後来店くださいますよう宜しくお願い致します。,,03-6802-3773
クロドユータ,東京都台東区浅草3-40-2 ヨネス浅草103,ワイン500種、マデイラワイン70種、ウイスキー100種、ブランデー100種、フレンチラム30種、カルヴァドス30種、カウンター7から、個室あり1室（5名様まで）,,03-6802-3963
浅草焼鳥酒場コケコッコー,東京都台東区浅草3-15-8,新店舗オープン！ 心を込めてご提供させていただきますm(_ _)m,,
とんかつ  三好弥,東京都台東区浅草3-17-5,今宵のあては… 美味しいとんかつで一杯いかが？ 昭和10年創業！ 昭和の味をいつまでも。,,03-3874-2250
THE BURGER CRAFT,東京都台東区浅草3-17-3  1F,昨年に引き続き、今年もTHE BURGER CRAFT浅草店は、ビールまたはソフトドリンクからお好きな一杯に、ガトーショコラをセットにしてご提供いたします。 いつものバーガースタイルとはまた少し違う、イベントならではの軽い立ち寄り感で、ぜひ気軽にお楽しみください。 皆さまのご来店をお待ちしております。,https://www.the-burger-craft.com,03-6324-5741
Bar Relief,東京都台東区浅草3-17-7,入りづらい見た目ですが（笑）カジュアルなダーツバーです！！ ダーツバーではありますが、面白いお酒や珍しいお酒もご用意しております！！ フードも朝までご用意ありますので（売切御免）、是非是非お立ち寄りください！！ クラフトビールや日本酒もご用意あります！！,https://bar-relief.com,03-4470-9711
Ludique,東京都台東区浅草3-18-6,観音裏の“気取らないフレンチ” 浅草ルディックです🍷 フォアグラ最中や、自家製おつまみを中心に、 「なんか美味しいものつまみながら、気持ちよく飲みたい夜」にぴったりの店です。 酔いの宵限定メニューあります。 ふらっと寄って、軽く一杯でもどうぞ。 ※冊子に記載のせんトラ提供時間を長くしました,,03-5849-4169
わらべの里,東京都台東区浅草3-18-9  ルモンド浅草102,こじんまりとしたアットホームな小さなお店です。 この日の為に特別メニューを考えてます。 是非お立ち寄り下さい。 お待ちしております。,,03-3874-8561
ホーム,東京都台東区浅草3-18-9  小島ビル102,浅草の観音裏でホームという酒場をやっています。 故郷の福島県会津の食材や地酒なども取り扱っています。 酔いの宵では、メガジャッキのドリンクや、日替わりの会津の地酒、フードも馬刺しなど選べる日替りメニューを用意して参加させていただきます。 よろしくお願いします。,https://www.instagram.com/home.asakusa/,03-5808-9753
串やき黒田,東京都台東区浅草3-9-10  キャピタル浅草1F,当店ではブロッコリーや白菜やミョウガなど串焼きでは珍しい食材を串焼きにしています。　牛豚もつ焼き、焼き鳥、煮込みもあります。 【せんトラセット】(予定) ドリンク１杯、煮込み一品、串焼き２本。 せんトラセット利用前提の予約は承れません。　せんトラセットは、ご用意分が無くなり次第提供を終了となります。,https://kushiyaki-kuroda.amebaownd.com,03-6356-0707
かんがえるかんがるー,東京都台東区浅草3-9-10  キャピタルプラザ浅草106,様々なお料理とお酒でお待ちしております。,,
こへると,東京都台東区浅草3-9-10  104,和食とワインのお店です。 日本酒、焼酎も各種取り揃えております。,,03-6802-3852
カフェバー Full Moon,東京都台東区浅草3-36-10　富士荘1A,週末に不定期にオープンするカフェバー。 夜に濃厚なデザートを食べられる店としてリニューアルしました。 自家製の濃厚プリンとチーズケーキの盛り合わセットをご用意！ 甘いものが苦手な方用のおつまみもあり〼。,https://fullmoon.velvet.jp,070-1547-0052
ガンゲット・ラ・レネット,東京都台東区浅草3-36-3  ダイワ荘103,"路地裏に佇む隠れ過ぎたフレンチ居酒屋です。 『見つけたらフレンチを♪』をコンセプトに、全面禁煙にて営業しております。ちょい飲みの方や物足りない方、小さなお子様連れの方もお気軽にご来店ください。昨年同様選べる""せんトラセット""をご用意させて頂きます。詳しくはお店のSNSでご確認ください。",https://www.instagram.com/larainette0417/,03-6802-4449
食べ呑み処あぐまる,東京都台東区浅草3-36-2 小野店舗1F,毎年参加しておりますが、相変わらず人見知りの女二人で営業しています。せんトラセットは日替わりおつまみ盛り合わせとワンドリンクになります。現金でのお支払いをお願いしています。追加オーダー喜んで！その場合はカード、PayPayでの支払いも可能です。,https://www.instagram.com/_agumaru0721/,03-5808-9986
豊洲魚がし丸山直営  たまや,東京都台東区浅草3-36-1,昨年は2000人を超えるお客様にご来店して頂きました！ありがとうございます！ 今年も好評につき、せんトラセットは【ワンドリンク＋寿司３貫と黒毛和牛刺し】で参加させて頂きます。 ご来店お待ちしております。,,03-6675-9030　問い合わせは18時よりお願いします
丹想庵 健次郎,東京都台東区浅草3-35-3,お気軽においでやし！,https://tansouan.com,03-5824-3355
おかめ,東京都台東区浅草3-20-8,おでんと家庭料理で心温まるひと時を,,03-3875-6925
金太楼鮨  馬道店,東京都台東区浅草3-35-10,創業大正13年　ねぎとろ発祥の店 江戸前の正統を守る本格的なお鮨を心ゆくまでお楽しみください。,https://kintaro-sushi.com/locations/umamichi/,03-3875-3075
ベヴィトーレ,東京都台東区浅草3-35-12,カウンターのみ7席の小さなお店の為、酔いの宵のお客様は入口より3席でのご提供です（但し、一般のお客様が優先となりますので、満席や貸切営業の際はご容赦ください） 予約不可、店先待ち不可、追加注文不可、お支払いは現金のみ、 ご利用時間はお料理が出てからお食事終わりまで30分とさせていただきます。 当店参加期間は2月15日（日）までとなります。,https://www.instagram.com/bevitore_asakusa/,
COLD HANDS,東京都台東区浅草3-20-8  市村ビル1階,カウンターだけの小さなバーです。　カクテルやその他洋酒を気軽な雰囲気で楽しめます！　せんトラセットでは酔いの宵特別メニューからドリンク1杯＋チョコorナッツを提供いたします。　皆様お待ちしております！,https://www.instagram.com/bar_coldhands/,03-6802-4428
浅草Kanna,東京都台東区浅草3-20-8  コーポ秋山1F,「五【感】で楽しむ和食野【菜】を」がコンセプトの創作和食のお店です。　魚介は毎日全国の漁港から届く新鮮なものを使用。　鮮魚と野菜が中心の料理の数々は、女性から男性まで楽しめます。　創作和食に合わせた日本酒やワインにもこだわりが満載。　マリアージュもご堪能いただけます。　和モダンな空間は、接待や各種宴会など特別なシーンにも最適です。　都会の喧騒を忘れさせる浅草、観音裏ではのひとときをお過ごしください,https://tabelog.com/tokyo/A1311/A131102/13241636/,03-6802-4899
浅草  馳走 にし座わ,東京都台東区浅草3-34-10  ロワール浅草101,2024年7月開業、カウンター4席・テーブル12席のお店です。　普段は店主のおまかせコースとメインは炊き込みご飯を提供しています。　酔いの宵では、普段コースで提供しているメニューから、何品か少しずつ取り分けて提供させていただきます。　1名様はカウンター席、2名様以上は奥のテーブルをご利用いただけます。　この機会にどうぞお気軽にお越しください。,https://www.instagram.com/katsuhiko.nishizawa/,050-8881-7620
フランス食堂  サバ,東京都台東区浅草3-34-1,サバのフランス料理は、お洒落な気取ったレストランの料理ではなく、ごく普通の何処にでもあるフランスの家庭料理やビストロ料理を、創作せずにお出ししています。「日本人がイメージしているフランス料理はフランスには有りませんよ」が口癖のシェフです。お気軽にお越し下さい。酔いの宵は一口サイズの長ネギのビネグレットとウフマヨネーズをお出しします。,,03-3874-0020
手打ち蕎麦  なお太,東京都台東区浅草3-21-3  シャンポール花岡1F,北海道産の蕎麦粉を使用しております。　サイドメニューも豊富に取り揃えておりますので是非お越しください。,,03-3873-3689
酔花,東京都台東区浅草3-33-6,浅草生まれの女将です。 冬場は「おでん」がおすすめです。 熊本直送「馬刺し」が人気です。 材料により色々お作りします。,,090-1408-4820
小料理·麦とろ  二葉,東京都台東区浅草3-33-1,河岸で仕入れた魚を主に、冬はあんこう鍋が人気です。 ご来店お待ちしてます。,,03-3874-2895
とん将,東京都台東区浅草3-22-4,はじめての方大歓迎です、お待ちしてます。,,03-3872-7645
浅草こととい,東京都台東区浅草3-5-7,都合により、昼営業のみ、夜営業のみになったりします。　提供時間外でも対応しますが、開店時間が遅れる場合がありますので、提供時間を設定させて頂きました。　前回と同じく、ワンドリンクとおつまみか、お茶と定食の選択でご提供予定です。,https://www.instagram.com/asakusa_kototoi/,03-6875-2463
居酒屋  こたろう,東京都台東区浅草3-32-6,カウンターだけの小さなお店です。 看板犬シーズー犬のこたろうが、たまに接待してくれるかも？！,,090-7194-9377
粥や佐藤,東京都台東区浅草3-23-3  上野ビル101,自家製 天然だしの“うまみ”たっぷりのお粥屋です。 2018年創業。　2023年3月、慣れ親しんだ街「浅草 観音裏」に移転し、もうすぐ2年になります。 酔いの宵を通して、お粥の美味しさ、新しさを皆様と共有したいと思っています！ はしご酒のスタートに、おなかにやさしいお粥を食べてください！,https://www.instagram.com/kayuyasato/,03-6700-9888
酒楽 ら、せらん,東京都台東区浅草3-24-9  戸澤ビル1F,美味しいお料理とお酒を豊富に取り揃えてお待ち申し上げております。 どうぞ楽しい時間をお過ごし下さい。,https://www.instagram.com/raseran1216/,03-6458-1016
高瀬,東京都台東区浅草3-30-6  小櫃ビル101,和洋中を問わずお酒に合うおつまみをご用意しております。 お気軽にお越しください。 尚、酔いの宵期間中はせんトラセットのみのご提供となります。 ご用意した分が無くなり次第、終了させていただきます。,https://www.instagram.com/takase101/,03-6240-6646
BASE,東京都台東区浅草3-29-4  福徳ビル1階,美味しい食事でお腹いっぱいになったらBASEへGO！！ 今年も皆様にお会い出来る事を楽しみにしております( ◠‿◠ ),https://www.instagram.com/base_thirdplacebar/,
Coffee&Bar WILL,東京都台東区浅草6-8-5,浅草に笑い声を響かせ42年。 美味しいカクテルと気取らない手料理に根強いファン多し。 せんトラセット　角ハイボール&オイルサーディン,,03-3876-2309
きさんじ,東京都台東区浅草6-20-2  内田ビル1F,きさんじと申します。　お刺身などのお魚料理と季節の炊き込みご飯に力を入れている割烹居酒屋です。　お酒類、ソフトドリンク類も幅広くご用意しています。　今年のせんトラセットは『お魚の煮付け』です。　1日限定20食（17:30〜・18:30〜の2部制各10食）となります。　たくさんの方に来ていただきたいので、期間中何度もご利用頂くことは極力お控えください。　ご理解、ご協力の程宜しくお願いいたします。,https://www.instagram.com/kisanji_asakusa/,03-6802-4979
